Time (h) 2022-10-13T07.07.00.130;ambient temperature (°C) Flask A1;ambient humidity (%) Flask A1;ambient pressure (mBar) Flask A1;CO2 conc. (%) Flask A1;O2 conc. (%) Flask A1;;Time (h) 2022-10-13T07.07.01.278;ambient temperature (°C) Flask A2;ambient humidity (%) Flask A2;ambient pressure (mBar) Flask A2;CO2 conc. (%) Flask A2;O2 conc. (%) Flask A2;;Time (h) 2022-10-13T07.07.01.594;ambient temperature (°C) Flask A3;ambient humidity (%) Flask A3;ambient pressure (mBar) Flask A3;CO2 conc. (%) Flask A3;O2 conc. (%) Flask A3;;Time (h) 2022-10-13T07.07.01.396;ambient temperature (°C) Flask A4;ambient humidity (%) Flask A4;ambient pressure (mBar) Flask A4;CO2 conc. (%) Flask A4;O2 conc. (%) Flask A4;;
0.02361;42.62;15.12;1015.77;0.054;20.406;;0.02361;42.79;15.87;1016.65;0.054;20.516;;0.02361;42.27;16.07;1015.57;0.057;20.909;;0.02361;41.97;21.58;1016.25;0.055;21.059;;
0.02500;42.66;15.11;1015.78;0.054;20.405;;0.02500;42.81;15.94;1016.64;0.054;20.516;;0.02500;42.30;16.09;1015.56;0.057;20.909;;0.02500;41.99;21.56;1016.26;0.055;21.055;;
0.02639;42.69;15.08;1015.77;0.054;20.404;;0.02639;42.83;15.96;1016.62;0.054;20.515;;0.02639;42.33;15.95;1015.55;0.057;20.908;;0.02639;42.01;21.57;1016.23;0.055;21.052;;
0.02778;42.72;15.04;1015.77;0.053;20.403;;0.02778;42.85;15.91;1016.64;0.054;20.514;;0.02778;42.36;15.96;1015.56;0.057;20.906;;0.02778;42.03;21.56;1016.25;0.055;21.047;;
0.02917;42.75;15.07;1015.78;0.053;20.402;;0.02917;42.87;15.89;1016.67;0.055;20.514;;0.02918;42.38;15.89;1015.57;0.057;20.905;;0.02917;42.05;21.55;1016.27;0.055;21.043;;
0.03056;42.78;14.99;1015.78;0.054;20.401;;0.03056;42.89;15.90;1016.66;0.054;20.513;;0.03058;42.41;15.83;1015.55;0.057;20.904;;0.03056;42.06;21.56;1016.26;0.055;21.040;;
0.03194;42.82;14.99;1015.79;0.054;20.398;;0.03195;42.91;15.94;1016.64;0.054;20.513;;0.03199;42.44;15.88;1015.53;0.058;20.902;;0.03194;42.08;21.56;1016.25;0.055;21.037;;
0.03335;42.85;15.05;1015.79;0.054;20.397;;0.03333;42.93;15.96;1016.63;0.055;20.512;;0.03339;42.47;15.89;1015.54;0.057;20.900;;0.03333;42.10;21.55;1016.24;0.055;21.034;;
0.03475;42.88;15.08;1015.79;0.054;20.395;;0.03472;42.95;16.10;1016.62;0.055;20.511;;0.03479;42.50;15.89;1015.56;0.058;20.898;;0.03472;42.12;21.59;1016.23;0.056;21.029;;
0.03615;42.91;15.01;1015.78;0.054;20.393;;0.03611;42.98;16.07;1016.62;0.055;20.510;;0.03619;42.52;15.80;1015.55;0.057;20.897;;0.03611;42.14;21.55;1016.23;0.056;21.026;;
0.03756;42.94;15.07;1015.77;0.054;20.391;;0.03750;43.00;16.13;1016.62;0.055;20.507;;0.03760;42.55;15.79;1015.54;0.057;20.895;;0.03752;42.16;21.57;1016.22;0.056;21.022;;
0.03896;42.97;15.06;1015.79;0.054;20.389;;0.03889;43.01;16.01;1016.63;0.055;20.504;;0.03900;42.57;15.77;1015.55;0.058;20.893;;0.03892;42.18;21.55;1016.23;0.056;21.018;;
0.04036;43.00;15.06;1015.81;0.055;20.387;;0.04028;43.03;16.03;1016.63;0.055;20.498;;0.04040;42.60;15.72;1015.56;0.057;20.891;;0.04032;42.20;21.53;1016.24;0.056;21.013;;
0.04176;43.02;15.13;1015.78;0.055;20.384;;0.04169;43.05;16.14;1016.61;0.055;20.494;;0.04181;42.63;15.79;1015.53;0.058;20.887;;0.04172;42.22;21.54;1016.25;0.056;21.005;;
0.04317;43.04;15.07;1015.77;0.055;20.378;;0.04309;43.06;16.12;1016.59;0.055;20.491;;0.04321;42.66;15.74;1015.55;0.058;20.877;;0.04313;42.23;21.53;1016.24;0.056;20.987;;
0.04457;43.07;15.03;1015.77;0.055;20.373;;0.04449;43.08;16.12;1016.58;0.055;20.488;;0.04461;42.68;15.76;1015.52;0.058;20.871;;0.04453;42.25;21.56;1016.24;0.056;20.969;;
0.04597;43.09;15.11;1015.77;0.055;20.368;;0.04589;43.10;16.15;1016.57;0.055;20.484;;0.04601;42.70;15.72;1015.51;0.058;20.866;;0.04593;42.27;21.56;1016.23;0.056;20.953;;
0.04737;43.11;15.13;1015.78;0.055;20.364;;0.04730;43.11;16.14;1016.56;0.055;20.481;;0.04742;42.72;15.88;1015.51;0.058;20.861;;0.04734;42.29;21.56;1016.21;0.056;20.940;;
0.04878;43.12;14.93;1015.80;0.055;20.360;;0.04870;43.13;16.07;1016.59;0.056;20.477;;0.04882;42.73;15.78;1015.53;0.058;20.855;;0.04874;42.30;21.56;1016.22;0.056;20.930;;
0.05018;43.14;15.15;1015.81;0.055;20.356;;0.05010;43.15;15.85;1016.58;0.056;20.473;;0.05022;42.75;15.79;1015.51;0.058;20.853;;0.05014;42.32;21.57;1016.19;0.056;20.922;;
0.05158;43.15;15.05;1015.79;0.055;20.352;;0.05151;43.16;16.09;1016.57;0.056;20.470;;0.05162;42.77;15.71;1015.51;0.058;20.847;;0.05154;42.33;21.57;1016.19;0.056;20.913;;
0.05299;43.16;15.13;1015.80;0.055;20.349;;0.05291;43.17;15.92;1016.61;0.056;20.466;;0.05303;42.78;15.72;1015.53;0.058;20.841;;0.05295;42.35;21.58;1016.20;0.057;20.905;;
0.05439;43.17;15.02;1015.80;0.055;20.346;;0.05431;43.18;15.87;1016.60;0.056;20.462;;0.05442;42.79;15.77;1015.54;0.058;20.837;;0.05435;42.36;21.55;1016.22;0.057;20.896;;
0.05579;43.19;15.19;1015.80;0.055;20.342;;0.05571;43.20;15.82;1016.60;0.056;20.459;;0.05581;42.81;15.71;1015.53;0.059;20.832;;0.05575;42.37;21.58;1016.23;0.057;20.889;;
0.05719;43.20;15.24;1015.81;0.056;20.338;;0.05712;43.21;15.76;1016.59;0.056;20.455;;0.05720;42.82;15.88;1015.54;0.059;20.828;;0.05715;42.39;21.58;1016.23;0.057;20.882;;
0.05859;43.20;15.13;1015.78;0.056;20.335;;0.05852;43.22;15.85;1016.60;0.056;20.451;;0.05859;42.83;15.75;1015.52;0.059;20.823;;0.05856;42.40;21.58;1016.23;0.057;20.875;;
0.05998;43.21;15.19;1015.77;0.056;20.333;;0.05992;43.24;15.79;1016.59;0.056;20.448;;0.05997;42.84;15.74;1015.52;0.059;20.818;;0.05996;42.42;21.57;1016.23;0.057;20.868;;
0.06137;43.22;15.18;1015.78;0.056;20.329;;0.06133;43.25;15.87;1016.59;0.056;20.444;;0.06136;42.86;15.72;1015.52;0.059;20.813;;0.06136;42.43;21.58;1016.22;0.057;20.861;;
0.06275;43.23;15.09;1015.77;0.056;20.326;;0.06273;43.26;15.92;1016.59;0.056;20.441;;0.06275;42.87;15.78;1015.52;0.059;20.808;;0.06275;42.44;21.59;1016.23;0.057;20.855;;
0.06414;43.24;15.16;1015.78;0.056;20.323;;0.06413;43.27;15.90;1016.59;0.057;20.437;;0.06414;42.88;15.74;1015.51;0.059;20.804;;0.06414;42.45;21.61;1016.22;0.057;20.849;;
0.06553;43.24;15.16;1015.78;0.056;20.320;;0.06553;43.28;15.82;1016.58;0.056;20.434;;0.06553;42.89;15.72;1015.52;0.059;20.800;;0.06553;42.46;21.61;1016.22;0.057;20.843;;
0.06692;43.25;15.17;1015.79;0.056;20.317;;0.06692;43.29;15.81;1016.57;0.057;20.431;;0.06692;42.90;15.78;1015.53;0.059;20.795;;0.06692;42.48;21.60;1016.23;0.057;20.837;;
0.06831;43.26;15.16;1015.77;0.056;20.314;;0.06831;43.30;15.74;1016.58;0.057;20.428;;0.06831;42.91;15.74;1015.52;0.060;20.790;;0.06831;42.49;21.62;1016.22;0.058;20.831;;
0.06970;43.27;15.14;1015.80;0.056;20.311;;0.06969;43.31;15.85;1016.61;0.057;20.423;;0.06970;42.93;15.72;1015.54;0.059;20.785;;0.06970;42.50;21.65;1016.22;0.058;20.826;;
0.07109;43.27;15.10;1015.80;0.057;20.309;;0.07108;43.32;15.80;1016.60;0.057;20.420;;0.07109;42.94;15.79;1015.54;0.060;20.781;;0.07109;42.51;21.65;1016.21;0.058;20.820;;
0.07248;43.28;15.25;1015.79;0.057;20.307;;0.07247;43.33;15.91;1016.60;0.057;20.416;;0.07248;42.95;15.80;1015.55;0.060;20.776;;0.07248;42.52;21.65;1016.21;0.058;20.814;;
0.07387;43.29;15.31;1015.79;0.057;20.303;;0.07386;43.34;15.96;1016.59;0.057;20.413;;0.07389;42.96;15.84;1015.55;0.060;20.772;;0.07386;42.53;21.68;1016.22;0.058;20.809;;
0.07525;43.29;15.24;1015.79;0.057;20.301;;0.07525;43.35;15.93;1016.58;0.057;20.410;;0.07529;42.97;15.81;1015.55;0.060;20.767;;0.07525;42.54;21.64;1016.23;0.058;20.803;;
0.07665;43.30;15.30;1015.79;0.057;20.299;;0.07664;43.36;15.82;1016.57;0.057;20.406;;0.07669;42.98;15.81;1015.54;0.060;20.763;;0.07664;42.55;21.63;1016.24;0.058;20.798;;
0.07805;43.31;15.19;1015.79;0.057;20.296;;0.07803;43.37;16.12;1016.58;0.057;20.404;;0.07809;42.98;15.87;1015.54;0.060;20.759;;0.07803;42.56;21.68;1016.23;0.058;20.793;;
0.07946;43.31;15.20;1015.79;0.057;20.294;;0.07942;43.38;15.94;1016.58;0.057;20.400;;0.07950;42.99;15.76;1015.53;0.060;20.754;;0.07942;42.58;21.68;1016.22;0.059;20.787;;
0.08086;43.32;15.21;1015.78;0.057;20.292;;0.08081;43.39;15.85;1016.58;0.057;20.396;;0.08090;43.00;15.85;1015.53;0.060;20.750;;0.08082;42.59;21.68;1016.22;0.059;20.783;;
0.08226;43.33;15.31;1015.78;0.057;20.290;;0.08219;43.40;15.80;1016.57;0.057;20.394;;0.08230;43.01;15.85;1015.52;0.060;20.746;;0.08222;42.60;21.70;1016.23;0.059;20.778;;
0.08366;43.33;14.93;1015.78;0.057;20.287;;0.08358;43.41;15.85;1016.56;0.057;20.391;;0.08369;43.02;15.84;1015.51;0.061;20.742;;0.08362;42.61;21.68;1016.22;0.059;20.773;;
0.08507;43.34;15.13;1015.79;0.057;20.285;;0.08499;43.42;15.92;1016.58;0.057;20.388;;0.08508;43.03;15.79;1015.53;0.061;20.737;;0.08502;42.62;21.67;1016.22;0.059;20.768;;
0.08647;43.35;15.23;1015.78;0.057;20.283;;0.08639;43.43;15.89;1016.57;0.058;20.384;;0.08647;43.04;15.84;1015.51;0.061;20.734;;0.08643;42.63;21.71;1016.21;0.059;20.763;;
0.08786;43.35;15.27;1015.77;0.058;20.281;;0.08779;43.44;15.83;1016.55;0.058;20.382;;0.08786;43.04;15.82;1015.49;0.061;20.730;;0.08783;42.64;21.70;1016.19;0.059;20.758;;
0.08925;43.36;15.20;1015.76;0.058;20.280;;0.08919;43.45;15.85;1016.55;0.058;20.379;;0.08925;43.05;15.85;1015.50;0.061;20.725;;0.08923;42.65;21.69;1016.20;0.059;20.753;;
0.09064;43.36;15.32;1015.76;0.058;20.278;;0.09060;43.45;15.92;1016.55;0.058;20.376;;0.09063;43.06;15.88;1015.49;0.061;20.721;;0.09063;42.66;21.73;1016.21;0.059;20.748;;
0.09202;43.37;15.28;1015.75;0.058;20.275;;0.09200;43.46;15.90;1016.55;0.058;20.374;;0.09202;43.07;15.93;1015.52;0.061;20.716;;0.09202;42.67;21.64;1016.19;0.059;20.744;;
0.09341;43.37;15.32;1015.75;0.058;20.274;;0.09340;43.48;15.96;1016.59;0.058;20.371;;0.09341;43.08;15.90;1015.51;0.061;20.713;;0.09341;42.68;21.74;1016.20;0.059;20.739;;
0.09480;43.38;15.26;1015.76;0.058;20.272;;0.09480;43.48;15.84;1016.58;0.058;20.369;;0.09481;43.08;15.92;1015.50;0.061;20.709;;0.09480;42.69;21.72;1016.19;0.059;20.735;;
0.09619;43.38;15.25;1015.75;0.058;20.271;;0.09619;43.49;15.96;1016.57;0.058;20.365;;0.09621;43.09;15.87;1015.50;0.061;20.706;;0.09619;42.70;21.76;1016.22;0.060;20.729;;
0.09758;43.39;15.31;1015.74;0.058;20.269;;0.09757;43.50;15.96;1016.56;0.058;20.363;;0.09761;43.10;16.03;1015.50;0.062;20.702;;0.09758;42.71;21.69;1016.21;0.060;20.725;;
0.09897;43.39;15.27;1015.75;0.058;20.268;;0.09896;43.51;15.99;1016.56;0.058;20.361;;0.09902;43.11;15.88;1015.52;0.061;20.698;;0.09897;42.71;21.77;1016.22;0.060;20.721;;
0.10038;43.39;15.41;1015.73;0.058;20.267;;0.10035;43.52;15.89;1016.56;0.058;20.358;;0.10042;43.11;15.90;1015.52;0.061;20.694;;0.10036;42.72;21.75;1016.21;0.060;20.717;;
0.10178;43.40;15.32;1015.74;0.058;20.265;;0.10174;43.52;15.90;1016.56;0.058;20.357;;0.10181;43.12;15.99;1015.52;0.061;20.691;;0.10175;42.73;21.68;1016.20;0.060;20.712;;
0.10318;43.40;15.35;1015.74;0.058;20.264;;0.10313;43.53;15.87;1016.55;0.058;20.355;;0.10320;43.13;15.97;1015.53;0.062;20.688;;0.10314;42.74;21.72;1016.21;0.060;20.709;;
0.10459;43.41;15.48;1015.71;0.059;20.263;;0.10452;43.54;15.84;1016.56;0.059;20.352;;0.10459;43.14;15.95;1015.52;0.061;20.685;;0.10454;42.75;21.76;1016.20;0.060;20.704;;
0.10598;43.41;15.38;1015.72;0.059;20.261;;0.10591;43.54;15.90;1016.54;0.059;20.350;;0.10597;43.14;15.94;1015.52;0.062;20.680;;0.10594;42.76;21.82;1016.21;0.060;20.699;;
0.10737;43.42;15.39;1015.71;0.059;20.260;;0.10731;43.56;15.95;1016.55;0.059;20.347;;0.10736;43.15;15.98;1015.52;0.062;20.677;;0.10735;42.76;21.80;1016.19;0.060;20.696;;
0.10875;43.42;15.42;1015.73;0.059;20.259;;0.10871;43.56;15.97;1016.56;0.059;20.345;;0.10875;43.16;16.02;1015.52;0.062;20.674;;0.10875;42.77;21.79;1016.20;0.060;20.692;;
0.11014;43.43;15.40;1015.73;0.059;20.258;;0.11011;43.57;15.95;1016.54;0.059;20.343;;0.11014;43.17;16.00;1015.53;0.062;20.671;;0.11014;42.78;21.79;1016.20;0.060;20.688;;
0.11153;43.43;15.38;1015.73;0.058;20.257;;0.11152;43.58;16.11;1016.53;0.059;20.342;;0.11154;43.17;16.01;1015.52;0.062;20.668;;0.11153;42.79;21.82;1016.18;0.060;20.684;;
0.11292;43.44;15.30;1015.74;0.058;20.255;;0.11291;43.59;16.14;1016.55;0.059;20.339;;0.11294;43.18;16.08;1015.51;0.062;20.665;;0.11292;42.80;21.80;1016.20;0.060;20.680;;
0.11431;43.44;15.46;1015.73;0.059;20.255;;0.11430;43.59;16.09;1016.53;0.059;20.337;;0.11435;43.18;16.04;1015.50;0.062;20.663;;0.11431;42.80;21.83;1016.19;0.060;20.676;;
0.11571;43.45;15.37;1015.72;0.059;20.254;;0.11569;43.60;16.02;1016.52;0.059;20.335;;0.11574;43.19;15.99;1015.50;0.062;20.660;;0.11570;42.81;21.81;1016.19;0.061;20.672;;
0.11711;43.46;15.38;1015.73;0.059;20.251;;0.11708;43.61;16.03;1016.51;0.059;20.334;;0.11713;43.20;16.01;1015.49;0.062;20.657;;0.11709;42.82;21.75;1016.19;0.061;20.669;;
0.11851;43.46;15.26;1015.73;0.059;20.250;;0.11847;43.62;16.05;1016.54;0.059;20.331;;0.11852;43.21;16.07;1015.50;0.062;20.653;;0.11847;42.83;21.79;1016.19;0.061;20.666;;
0.11991;43.47;15.25;1015.72;0.059;20.249;;0.11986;43.62;16.04;1016.54;0.059;20.329;;0.11991;43.22;16.03;1015.51;0.062;20.650;;0.11987;42.83;21.83;1016.19;0.061;20.661;;
0.12130;43.47;15.30;1015.72;0.059;20.248;;0.12125;43.63;16.11;1016.52;0.059;20.327;;0.12129;43.23;16.04;1015.49;0.062;20.648;;0.12128;42.84;21.79;1016.19;0.061;20.658;;
0.12269;43.48;15.39;1015.72;0.059;20.247;;0.12264;43.64;16.16;1016.53;0.059;20.326;;0.12268;43.23;16.08;1015.49;0.062;20.645;;0.12268;42.85;21.86;1016.20;0.061;20.653;;
0.12407;43.48;15.39;1015.73;0.060;20.247;;0.12404;43.64;15.94;1016.52;0.059;20.325;;0.12407;43.24;16.12;1015.51;0.062;20.641;;0.12407;42.86;21.83;1016.20;0.061;20.649;;
0.12546;43.49;15.37;1015.72;0.060;20.247;;0.12545;43.65;16.11;1016.51;0.059;20.323;;0.12546;43.24;16.07;1015.49;0.063;20.638;;0.12546;42.86;21.83;1016.20;0.061;20.646;;
0.12685;43.50;15.54;1015.71;0.059;20.246;;0.12684;43.66;16.14;1016.51;0.060;20.321;;0.12686;43.25;16.13;1015.48;0.062;20.636;;0.12685;42.87;21.77;1016.20;0.061;20.643;;
0.12824;43.50;15.51;1015.71;0.059;20.245;;0.12823;43.67;16.15;1016.49;0.059;20.321;;0.12826;43.26;16.18;1015.50;0.063;20.633;;0.12824;42.88;21.76;1016.18;0.061;20.638;;
0.12963;43.50;15.54;1015.71;0.060;20.244;;0.12962;43.67;16.09;1016.50;0.060;20.318;;0.12965;43.27;16.08;1015.51;0.062;20.630;;0.12963;42.89;21.85;1016.18;0.061;20.636;;
0.13102;43.51;15.43;1015.71;0.060;20.244;;0.13101;43.68;16.09;1016.50;0.060;20.317;;0.13104;43.27;16.16;1015.51;0.062;20.627;;0.13102;42.89;21.84;1016.18;0.061;20.633;;
0.13242;43.51;15.49;1015.71;0.060;20.243;;0.13240;43.69;16.04;1016.50;0.059;20.315;;0.13242;43.28;16.13;1015.51;0.063;20.624;;0.13241;42.90;21.94;1016.19;0.061;20.642;;
0.13382;43.51;15.61;1015.69;0.060;20.243;;0.13379;43.69;16.21;1016.50;0.060;20.314;;0.13381;43.28;16.13;1015.49;0.063;20.623;;0.13380;42.91;21.92;1016.17;0.061;20.629;;
0.13521;43.52;15.51;1015.71;0.060;20.241;;0.13518;43.69;16.13;1016.51;0.060;20.312;;0.13520;43.29;16.14;1015.51;0.063;20.619;;0.13519;42.92;21.93;1016.19;0.061;20.624;;
0.13659;43.52;15.43;1015.70;0.060;20.242;;0.13657;43.70;16.10;1016.49;0.060;20.311;;0.13659;43.30;16.20;1015.51;0.063;20.620;;0.13659;42.92;21.90;1016.17;0.061;20.621;;
0.13798;43.53;15.59;1015.70;0.060;20.241;;0.13796;43.71;16.07;1016.48;0.060;20.310;;0.13798;43.31;16.19;1015.50;0.063;20.615;;0.13798;42.93;22.00;1016.18;0.061;20.618;;
0.13937;43.53;15.63;1015.70;0.060;20.240;;0.13936;43.72;16.19;1016.49;0.060;20.308;;0.13937;43.31;16.21;1015.51;0.063;20.611;;0.13937;42.94;21.95;1016.18;0.062;20.614;;
0.14076;43.54;15.68;1015.70;0.060;20.239;;0.14075;43.72;16.18;1016.49;0.060;20.307;;0.14076;43.32;16.18;1015.50;0.063;20.609;;0.14076;42.94;21.91;1016.17;0.062;20.611;;
0.14215;43.54;15.64;1015.70;0.060;20.239;;0.14214;43.73;16.14;1016.49;0.060;20.306;;0.14215;43.33;16.30;1015.50;0.063;20.607;;0.14215;42.95;21.94;1016.17;0.062;20.608;;
0.14354;43.55;15.71;1015.69;0.060;20.238;;0.14353;43.73;16.22;1016.48;0.060;20.305;;0.14354;43.33;16.27;1015.50;0.063;20.604;;0.14354;42.95;21.94;1016.16;0.062;20.605;;
0.14494;43.55;15.79;1015.68;0.060;20.237;;0.14492;43.74;16.28;1016.48;0.060;20.304;;0.14493;43.34;16.26;1015.49;0.063;20.602;;0.14492;42.96;21.93;1016.18;0.062;20.601;;
0.14633;43.56;15.58;1015.70;0.060;20.237;;0.14631;43.75;16.24;1016.48;0.060;20.302;;0.14632;43.34;16.39;1015.47;0.063;20.600;;0.14631;42.97;21.93;1016.18;0.062;20.598;;
0.14773;43.56;15.54;1015.70;0.060;20.236;;0.14770;43.76;16.22;1016.49;0.060;20.301;;0.14771;43.35;16.56;1015.49;0.064;20.598;;0.14770;42.98;21.94;1016.19;0.062;20.596;;
0.14911;43.56;15.46;1015.70;0.061;20.236;;0.14909;43.76;16.17;1016.51;0.060;20.299;;0.14910;43.35;16.68;1015.48;0.064;20.595;;0.14909;42.98;21.96;1016.18;0.062;20.593;;
0.15050;43.57;15.57;1015.69;0.061;20.236;;0.15048;43.77;16.21;1016.49;0.060;20.298;;0.15049;43.36;16.58;1015.48;0.064;20.593;;0.15048;42.99;21.97;1016.17;0.062;20.589;;
0.15189;43.57;15.60;1015.69;0.061;20.235;;0.15186;43.77;16.15;1016.49;0.061;20.297;;0.15188;43.37;16.62;1015.49;0.064;20.590;;0.15188;42.99;21.99;1016.16;0.062;20.588;;
0.15328;43.57;15.57;1015.70;0.060;20.235;;0.15325;43.77;16.22;1016.50;0.061;20.296;;0.15326;43.37;16.75;1015.49;0.064;20.588;;0.15326;42.99;21.98;1016.18;0.062;20.584;;
0.15467;43.58;15.48;1015.70;0.060;20.234;;0.15465;43.78;16.19;1016.51;0.061;20.296;;0.15466;43.38;16.65;1015.49;0.064;20.586;;0.15465;43.00;22.01;1016.17;0.062;20.581;;
0.15606;43.58;15.70;1015.68;0.061;20.234;;0.15604;43.79;16.28;1016.51;0.061;20.293;;0.15605;43.39;16.72;1015.49;0.064;20.583;;0.15604;43.01;22.02;1016.16;0.062;20.579;;
0.15745;43.59;15.85;1015.68;0.061;20.233;;0.15743;43.80;16.33;1016.51;0.061;20.292;;0.15744;43.39;16.74;1015.48;0.064;20.582;;0.15743;43.01;22.04;1016.17;0.062;20.576;;
0.15884;43.59;15.72;1015.70;0.061;20.232;;0.15882;43.80;16.38;1016.52;0.061;20.292;;0.15883;43.40;16.69;1015.49;0.064;20.580;;0.15882;43.02;22.04;1016.19;0.062;20.573;;
0.16023;43.59;15.71;1015.72;0.061;20.232;;0.16021;43.81;16.31;1016.54;0.061;20.290;;0.16022;43.40;16.82;1015.50;0.064;20.576;;0.16021;43.03;22.07;1016.19;0.063;20.571;;
0.16162;43.59;15.68;1015.70;0.061;20.233;;0.16159;43.81;16.23;1016.53;0.061;20.289;;0.16161;43.41;16.82;1015.47;0.064;20.575;;0.16160;43.03;22.03;1016.19;0.062;20.568;;
0.16301;43.60;15.75;1015.71;0.061;20.231;;0.16298;43.82;16.22;1016.53;0.061;20.289;;0.16300;43.41;16.89;1015.49;0.064;20.573;;0.16299;43.04;22.08;1016.19;0.062;20.565;;
0.16440;43.60;15.70;1015.73;0.061;20.230;;0.16437;43.83;16.19;1016.52;0.061;20.287;;0.16439;43.42;16.93;1015.49;0.064;20.570;;0.16438;43.04;22.07;1016.18;0.063;20.563;;
0.16579;43.60;15.66;1015.74;0.061;20.230;;0.16576;43.83;16.26;1016.53;0.061;20.286;;0.16577;43.42;16.87;1015.51;0.064;20.568;;0.16577;43.05;22.16;1016.18;0.063;20.560;;
0.16718;43.61;15.73;1015.71;0.061;20.230;;0.16715;43.84;16.21;1016.53;0.061;20.285;;0.16716;43.43;16.82;1015.50;0.064;20.565;;0.16716;43.05;22.15;1016.18;0.063;20.558;;
